date,min,max,median,q1,q3,stdev,count
2020-02-21T00:00:00.000Z,0.57,10.83,2.71,1.51,3.85,2.374,420
2020-02-22T00:00:00.000Z,0.4,2.42,1.09,0.8,1.48,0.426,429
2020-02-23T00:00:00.000Z,0.45,4.38,0.95,0.75,1.53,0.714,452
2020-02-24T00:00:00.000Z,0.57,4.4,1.25,0.95,1.97,0.749,526
2020-02-25T00:00:00.000Z,0.64,4.46,1.64,1.28,2.06,0.566,447
2020-02-26T00:00:00.000Z,0.53,1.7,0.95,0.82,1.13,0.227,396
2020-02-27T00:00:00.000Z,0.6,4.07,1.36,1.04,1.9,0.544,558
2020-02-28T00:00:00.000Z,0.7,3.46,1.35,1.14,1.76,0.536,560
2020-02-29T00:00:00.000Z,1.1,9.59,2.35,1.85,4.54,2.083,574
2020-03-01T00:00:00.000Z,0.9,11.82,2.18,1.85,2.6,2.025,578
2020-03-02T00:00:00.000Z,1.2,6.02,2.66,2.17,3.32,0.872,471
2020-03-03T00:00:00.000Z,1.66,19.2,6.1,4.96,7.9,3.589,420
2020-03-04T00:00:00.000Z,0.52,16.07,1.12,0.95,1.55,3.178,588
2020-03-05T00:00:00.000Z,0.65,5.38,1.4,1.1,1.92,0.719,586
2020-03-06T00:00:00.000Z,0.57,4.51,2.04,1.52,2.5,0.791,591
2020-03-07T00:00:00.000Z,3.45,23.37,7.78,5.76,12.22,3.903,592
2020-03-08T00:00:00.000Z,4.19,20.5,10.16,8.35,12.96,3.449,590
2020-03-09T00:00:00.000Z,1.5,18.48,6.28,3.38,10.5,4.05,582
2020-03-10T00:00:00.000Z,1.24,20.62,5.38,3.75,10.74,4.809,583
2020-03-11T00:00:00.000Z,0.44,5.09,2.42,0.92,3.16,1.172,580
2020-03-12T00:00:00.000Z,0.67,3.84,1.7,1.28,2.18,0.624,490
2020-03-13T00:00:00.000Z,0.55,2.42,0.95,0.8,1.2,0.296,506
2020-03-14T00:00:00.000Z,0.45,4.43,0.95,0.78,1.4,0.592,546
2020-03-15T00:00:00.000Z,1.92,5.77,3.78,3.06,4.29,0.818,293
2020-03-16T00:00:00.000Z,0.65,8.35,1.77,1.2,4.45,1.693,583
2020-03-17T00:00:00.000Z,0.92,3.95,2.08,1.69,2.62,0.62,558
2020-03-18T00:00:00.000Z,0.5,4.44,1.6,0.96,2.92,1.044,501
2020-03-19T00:00:00.000Z,0.65,3.7,1.4,1.13,1.7,0.452,554
2020-03-20T00:00:00.000Z,0.66,4.05,1.36,1.05,1.76,0.596,466
2020-03-21T00:00:00.000Z,0.55,2.22,1.05,0.9,1.32,0.33,483
2020-03-22T00:00:00.000Z,0.65,2.31,1.27,1.02,1.5,0.339,455
2020-03-23T00:00:00.000Z,0.82,12.28,1.64,1.3,2.02,1.352,446
2020-03-24T00:00:00.000Z,1.33,5.26,2.5,2.12,3.02,0.664,450
2020-03-25T00:00:00.000Z,1.4,6.25,3.45,3,4.28,0.913,430
2020-03-26T00:00:00.000Z,3.2,11.2,6.55,5.85,8.88,1.907,417
2020-03-27T00:00:00.000Z,4.5,12.07,8,6.75,9.55,1.61,379
2020-03-28T00:00:00.000Z,0.7,1.93,1.15,1,1.41,0.266,178
2020-03-29T00:00:00.000Z,0.5,2.58,0.92,0.83,1.06,0.292,340
2020-03-30T00:00:00.000Z,0.6,1.77,0.93,0.83,1.06,0.194,140
2020-03-31T00:00:00.000Z,0.63,4.68,1.2,1.01,1.55,0.553,319
2020-04-01T00:00:00.000Z,0.5,3.8,1.35,1.05,1.58,0.395,188
2020-04-02T00:00:00.000Z,0.4,5.03,1.74,1.23,2.49,0.924,413
2020-04-03T00:00:00.000Z,0.5,2.83,0.86,0.75,1,0.281,451
2020-04-04T00:00:00.000Z,0.56,4.8,0.95,0.81,1.14,0.352,517
2020-04-05T00:00:00.000Z,0.74,13.38,1.75,1.23,3.84,2.973,529
2020-04-06T00:00:00.000Z,2.5,16.5,5.46,4.51,8.14,3.123,510
2020-04-07T00:00:00.000Z,1.32,20.07,9.44,2.38,11.3,4.962,438
2020-04-08T00:00:00.000Z,1.92,4.58,2.8,2.5,3.1,0.449,461
2020-04-09T00:00:00.000Z,0.5,4.09,1.04,0.8,1.29,0.699,453
2020-04-10T00:00:00.000Z,0.45,3.4,0.82,0.7,1.25,0.478,493
2020-04-11T00:00:00.000Z,0.7,4.82,3.18,1.4,3.76,1.249,156
2020-04-12T00:00:00.000Z,0.42,11.65,2.4,1.33,4.86,2.827,592
2020-04-13T00:00:00.000Z,0.5,1.8,0.98,0.84,1.14,0.238,587
2020-04-14T00:00:00.000Z,0.5,5.07,1.05,0.81,1.38,0.457,569
2020-04-15T00:00:00.000Z,0.45,7.66,0.9,0.74,1.28,0.848,528
2020-04-16T00:00:00.000Z,0.45,3.15,0.84,0.7,1.02,0.304,526
2020-04-17T00:00:00.000Z,0.5,2.31,0.85,0.74,1.01,0.235,584
